class,fpr,tpr,auc
Survivor,0.6388888888888888,0.4728682170542636,0.40137812230835485
Survivor,0.6388888888888888,0.5038759689922481,0.40137812230835485
Survivor,0.6944444444444444,0.5038759689922481,0.40137812230835485
Survivor,0.6944444444444444,0.5271317829457365,0.40137812230835485
Survivor,0.7777777777777778,0.5271317829457365,0.40137812230835485
Survivor,0.7777777777777778,0.6511627906976745,0.40137812230835485
Survivor,0.8055555555555556,0.6511627906976745,0.40137812230835485
Survivor,0.8055555555555556,0.6821705426356589,0.40137812230835485
Survivor,0.8333333333333334,0.6821705426356589,0.40137812230835485
Survivor,0.8333333333333334,0.7286821705426356,0.40137812230835485
Survivor,0.8611111111111112,0.7286821705426356,0.40137812230835485
Survivor,0.8611111111111112,0.7596899224806202,0.40137812230835485
Survivor,0.8888888888888888,0.7596899224806202,0.40137812230835485
Survivor,0.8888888888888888,0.8062015503875969,0.40137812230835485
Survivor,0.9166666666666666,0.8062015503875969,0.40137812230835485
Survivor,0.9166666666666666,0.8682170542635659,0.40137812230835485
Survivor,0.9444444444444444,0.8682170542635659,0.40137812230835485
Survivor,0.9444444444444444,0.8914728682170543,0.40137812230835485
Survivor,0.9722222222222222,0.8914728682170543,0.40137812230835485
Survivor,0.9722222222222222,0.9069767441860465,0.40137812230835485
Survivor,1.0,0.9069767441860465,0.40137812230835485
Survivor,1.0,1.0,0.40137812230835485
Sudden Cardiac Death,0.0,0.0,0.5685903500473036
Sudden Cardiac Death,0.006622516556291391,0.0,0.5685903500473036
Sudden Cardiac Death,0.0728476821192053,0.0,0.5685903500473036
Sudden Cardiac Death,0.0728476821192053,0.14285714285714285,0.5685903500473036
Sudden Cardiac Death,0.17218543046357615,0.14285714285714285,0.5685903500473036
Sudden Cardiac Death,0.17218543046357615,0.21428571428571427,0.5685903500473036
Sudden Cardiac Death,0.19205298013245034,0.21428571428571427,0.5685903500473036
Sudden Cardiac Death,0.19205298013245034,0.2857142857142857,0.5685903500473036
Sudden Cardiac Death,0.2119205298013245,0.2857142857142857,0.5685903500473036
Sudden Cardiac Death,0.2119205298013245,0.35714285714285715,0.5685903500473036
Sudden Cardiac Death,0.36423841059602646,0.35714285714285715,0.5685903500473036
Sudden Cardiac Death,0.36423841059602646,0.42857142857142855,0.5685903500473036
Sudden Cardiac Death,0.37748344370860926,0.42857142857142855,0.5685903500473036
Sudden Cardiac Death,0.37748344370860926,0.5,0.5685903500473036
Sudden Cardiac Death,0.40397350993377484,0.5,0.5685903500473036
Sudden Cardiac Death,0.40397350993377484,0.5714285714285714,0.5685903500473036
Sudden Cardiac Death,0.4966887417218543,0.5714285714285714,0.5685903500473036
Sudden Cardiac Death,0.4966887417218543,0.6428571428571429,0.5685903500473036
Sudden Cardiac Death,0.5960264900662252,0.6428571428571429,0.5685903500473036
Sudden Cardiac Death,0.5960264900662252,0.7142857142857143,0.5685903500473036
Sudden Cardiac Death,0.6225165562913907,0.7142857142857143,0.5685903500473036
Sudden Cardiac Death,0.6225165562913907,0.7857142857142857,0.5685903500473036
Sudden Cardiac Death,0.6556291390728477,0.7857142857142857,0.5685903500473036
Sudden Cardiac Death,0.6556291390728477,0.8571428571428571,0.5685903500473036
Sudden Cardiac Death,0.8675496688741722,0.8571428571428571,0.5685903500473036
Sudden Cardiac Death,0.8675496688741722,0.9285714285714286,0.5685903500473036
Sudden Cardiac Death,0.9337748344370861,0.9285714285714286,0.5685903500473036
Sudden Cardiac Death,0.9337748344370861,1.0,0.5685903500473036
Sudden Cardiac Death,1.0,1.0,0.5685903500473036
Pump Failure Death,0.0,0.0,0.31818181818181823
Pump Failure Death,0.006993006993006993,0.0,0.31818181818181823
Pump Failure Death,0.13286713286713286,0.0,0.31818181818181823
Pump Failure Death,0.13286713286713286,0.045454545454545456,0.31818181818181823
Pump Failure Death,0.2867132867132867,0.045454545454545456,0.31818181818181823
Pump Failure Death,0.2867132867132867,0.09090909090909091,0.31818181818181823
Pump Failure Death,0.48951048951048953,0.09090909090909091,0.31818181818181823
Pump Failure Death,0.48951048951048953,0.13636363636363635,0.31818181818181823
Pump Failure Death,0.5104895104895105,0.13636363636363635,0.31818181818181823
Pump Failure Death,0.5104895104895105,0.22727272727272727,0.31818181818181823
Pump Failure Death,0.5454545454545454,0.22727272727272727,0.31818181818181823
Pump Failure Death,0.5454545454545454,0.2727272727272727,0.31818181818181823
Pump Failure Death,0.5594405594405595,0.2727272727272727,0.31818181818181823
Pump Failure Death,0.5594405594405595,0.3181818181818182,0.31818181818181823
Pump Failure Death,0.5734265734265734,0.3181818181818182,0.31818181818181823
Pump Failure Death,0.5734265734265734,0.36363636363636365,0.31818181818181823
Pump Failure Death,0.5944055944055944,0.36363636363636365,0.31818181818181823
Pump Failure Death,0.5944055944055944,0.4090909090909091,0.31818181818181823
Pump Failure Death,0.6713286713286714,0.4090909090909091,0.31818181818181823
Pump Failure Death,0.6713286713286714,0.45454545454545453,0.31818181818181823
Pump Failure Death,0.6853146853146853,0.45454545454545453,0.31818181818181823
Pump Failure Death,0.6853146853146853,0.5,0.31818181818181823
Pump Failure Death,0.7622377622377622,0.5,0.31818181818181823
Pump Failure Death,0.7622377622377622,0.5909090909090909,0.31818181818181823
Pump Failure Death,0.7762237762237763,0.5909090909090909,0.31818181818181823
Pump Failure Death,0.7762237762237763,0.6818181818181818,0.31818181818181823
Pump Failure Death,0.8251748251748252,0.6818181818181818,0.31818181818181823
Pump Failure Death,0.8251748251748252,0.7272727272727273,0.31818181818181823
Pump Failure Death,0.8811188811188811,0.7272727272727273,0.31818181818181823
Pump Failure Death,0.8811188811188811,0.8181818181818182,0.31818181818181823
Pump Failure Death,0.916083916083916,0.8181818181818182,0.31818181818181823
Pump Failure Death,0.916083916083916,0.9090909090909091,0.31818181818181823
Pump Failure Death,0.9440559440559441,0.9090909090909091,0.31818181818181823
Pump Failure Death,0.9440559440559441,0.9545454545454546,0.31818181818181823
Pump Failure Death,1.0,0.9545454545454546,0.31818181818181823
Pump Failure Death,1.0,1.0,0.31818181818181823
