class,fpr,tpr,auc
Survivor,0.6666666666666666,0.5968992248062015,0.4916020671834625
Survivor,0.6666666666666666,0.6124031007751938,0.4916020671834625
Survivor,0.6944444444444444,0.6124031007751938,0.4916020671834625
Survivor,0.6944444444444444,0.7131782945736435,0.4916020671834625
Survivor,0.7222222222222222,0.7131782945736435,0.4916020671834625
Survivor,0.7222222222222222,0.7286821705426356,0.4916020671834625
Survivor,0.75,0.7286821705426356,0.4916020671834625
Survivor,0.75,0.7596899224806202,0.4916020671834625
Survivor,0.7777777777777778,0.7596899224806202,0.4916020671834625
Survivor,0.7777777777777778,0.7906976744186046,0.4916020671834625
Survivor,0.8333333333333334,0.7906976744186046,0.4916020671834625
Survivor,0.8333333333333334,0.7984496124031008,0.4916020671834625
Survivor,0.8611111111111112,0.7984496124031008,0.4916020671834625
Survivor,0.8611111111111112,0.8062015503875969,0.4916020671834625
Survivor,0.8888888888888888,0.8062015503875969,0.4916020671834625
Survivor,0.8888888888888888,0.8217054263565892,0.4916020671834625
Survivor,0.9166666666666666,0.8217054263565892,0.4916020671834625
Survivor,0.9166666666666666,0.8294573643410853,0.4916020671834625
Survivor,0.9722222222222222,0.8294573643410853,0.4916020671834625
Survivor,0.9722222222222222,0.8837209302325582,0.4916020671834625
Survivor,1.0,0.8837209302325582,0.4916020671834625
Survivor,1.0,1.0,0.4916020671834625
Sudden Cardiac Death,0.0,0.0,0.5236518448438978
Sudden Cardiac Death,0.006622516556291391,0.0,0.5236518448438978
Sudden Cardiac Death,0.08609271523178808,0.0,0.5236518448438978
Sudden Cardiac Death,0.08609271523178808,0.07142857142857142,0.5236518448438978
Sudden Cardiac Death,0.11920529801324503,0.07142857142857142,0.5236518448438978
Sudden Cardiac Death,0.11920529801324503,0.21428571428571427,0.5236518448438978
Sudden Cardiac Death,0.271523178807947,0.21428571428571427,0.5236518448438978
Sudden Cardiac Death,0.271523178807947,0.2857142857142857,0.5236518448438978
Sudden Cardiac Death,0.304635761589404,0.2857142857142857,0.5236518448438978
Sudden Cardiac Death,0.304635761589404,0.35714285714285715,0.5236518448438978
Sudden Cardiac Death,0.32450331125827814,0.35714285714285715,0.5236518448438978
Sudden Cardiac Death,0.32450331125827814,0.42857142857142855,0.5236518448438978
Sudden Cardiac Death,0.33774834437086093,0.42857142857142855,0.5236518448438978
Sudden Cardiac Death,0.33774834437086093,0.5,0.5236518448438978
Sudden Cardiac Death,0.5099337748344371,0.5,0.5236518448438978
Sudden Cardiac Death,0.5099337748344371,0.5714285714285714,0.5236518448438978
Sudden Cardiac Death,0.609271523178808,0.5714285714285714,0.5236518448438978
Sudden Cardiac Death,0.609271523178808,0.6428571428571429,0.5236518448438978
Sudden Cardiac Death,0.7218543046357616,0.6428571428571429,0.5236518448438978
Sudden Cardiac Death,0.7218543046357616,0.7142857142857143,0.5236518448438978
